ID,logFC,Pvalue,group,direction,group.direction
WARS,4.850773518,2.13E-53,Proteomics,up,Proteomics.up
STAT1,2.030293434,3.03E-52,Proteomics,up,Proteomics.up
GBP1,4.431457216,5.55E-45,Proteomics,up,Proteomics.up
DYNC1H1,0.669131991,8.32E-24,Proteomics,up,Proteomics.up
ICAM1,4.107993282,2.00E-22,Proteomics,up,Proteomics.up
HLA-DRB1,5.377408253,6.36E-17,Proteomics,up,Proteomics.up
PML,2.512477929,4.59E-16,Proteomics,up,Proteomics.up
HLA-DRA,5.570064635,5.24E-16,Proteomics,up,Proteomics.up
TAP1,3.492466415,9.97E-15,Proteomics,up,Proteomics.up
GBP4,2.740155096,1.78E-14,Proteomics,up,Proteomics.up
HELZ2,1.152229032,1.83E-14,Proteomics,up,Proteomics.up
CKAP5,-0.778896757,2.75E-14,Proteomics,down,Proteomics.down
TLN1,1.432686068,6.43E-14,Proteomics,up,Proteomics.up
NMI,1.307008337,1.03E-12,Proteomics,up,Proteomics.up
FASN,1.006543783,1.62E-12,Proteomics,up,Proteomics.up
CD74,3.861654629,1.76E-12,Proteomics,up,Proteomics.up
SAMHD1,1.141577457,4.14E-12,Proteomics,up,Proteomics.up
PSMB8,1.979064758,6.35E-12,Proteomics,up,Proteomics.up
HSP90AA1,1.293397117,1.31E-11,Proteomics,up,Proteomics.up
ACTN4,1.25317642,1.32E-11,Proteomics,up,Proteomics.up
LAP3,0.769212189,2.27E-11,Proteomics,up,Proteomics.up
HLA-E,2.575749941,2.53E-10,Proteomics,up,Proteomics.up
UPF1,-1.528853981,2.57E-10,Proteomics,down,Proteomics.down
GCN1L1,-1.935626982,2.60E-10,Proteomics,down,Proteomics.down
DTX3L,2.467871612,2.98E-10,Proteomics,up,Proteomics.up
TAP2,2.654221193,3.33E-10,Proteomics,up,Proteomics.up
TAPBP,3.491190893,5.51E-10,Proteomics,up,Proteomics.up
PRMT5,-1.497302483,1.72E-09,Proteomics,down,Proteomics.down
MVP,1.453287837,1.91E-09,Proteomics,up,Proteomics.up
GBP2,3.96502312,2.77E-09,Proteomics,up,Proteomics.up
DDOST,-0.75527946,9.60E-09,Proteomics,down,Proteomics.down
PGM1,1.776305216,1.17E-08,Proteomics,up,Proteomics.up
PARP14,1.206470189,1.48E-08,Proteomics,up,Proteomics.up
NPEPPS,1.113435721,2.46E-08,Proteomics,up,Proteomics.up
PSME2,2.391950712,4.05E-08,Proteomics,up,Proteomics.up
YARS,1.012354184,5.12E-08,Proteomics,up,Proteomics.up
SNRNP200,1.361202615,5.58E-08,Proteomics,up,Proteomics.up
IFIT3,1.299516735,1.23E-07,Proteomics,up,Proteomics.up
OAS3,0.999101774,1.35E-07,Proteomics,up,Proteomics.up
UBE2L6,2.934625971,1.98E-07,Proteomics,up,Proteomics.up
PSMB10,1.835601023,2.41E-07,Proteomics,up,Proteomics.up
CLTC,0.977436816,3.15E-07,Proteomics,up,Proteomics.up
SAMD9L,1.37271897,3.63E-07,Proteomics,up,Proteomics.up
PSMB9,3.319978486,4.04E-07,Proteomics,up,Proteomics.up
PKN2,-1.462593855,4.06E-07,Proteomics,down,Proteomics.down
PRDX1,0.886054132,4.71E-07,Proteomics,up,Proteomics.up
PAPSS2,-1.19419826,5.10E-07,Proteomics,down,Proteomics.down
ARHGEF28,-1.196071894,5.30E-07,Proteomics,down,Proteomics.down
ABHD11,-1.506473059,7.25E-07,Proteomics,down,Proteomics.down
HSP90AB1,0.789690045,7.37E-07,Proteomics,up,Proteomics.up
ACAT2,-0.808302292,7.57E-07,Proteomics,down,Proteomics.down
TMEM2,-0.832705297,8.96E-07,Proteomics,down,Proteomics.down
ERAP1,1.641839288,1.21E-06,Proteomics,up,Proteomics.up
B2M,2.109947773,1.26E-06,Proteomics,up,Proteomics.up
MSTO1,-1.870287408,1.28E-06,Proteomics,down,Proteomics.down
KRT10,0.976229684,1.31E-06,Proteomics,up,Proteomics.up
CKB,0.942108671,1.38E-06,Proteomics,up,Proteomics.up
VAMP8,2.397052401,1.40E-06,Proteomics,up,Proteomics.up
NCAPD2,1.914678435,1.86E-06,Proteomics,up,Proteomics.up
MARS,0.84162359,2.16E-06,Proteomics,up,Proteomics.up
UROD,-0.642515991,2.41E-06,Proteomics,down,Proteomics.down
BCL2L12,-1.188100917,2.94E-06,Proteomics,down,Proteomics.down
NAA25,-0.999103656,3.02E-06,Proteomics,down,Proteomics.down
CISD2,-0.73301023,3.51E-06,Proteomics,down,Proteomics.down
ATAD3A,-0.754277764,3.66E-06,Proteomics,down,Proteomics.down
GCLC,-0.741368654,3.69E-06,Proteomics,down,Proteomics.down
AURKB,-1.378726371,3.83E-06,Proteomics,down,Proteomics.down
AACS,-0.74254873,3.92E-06,Proteomics,down,Proteomics.down
GARS,0.644787032,4.26E-06,Proteomics,up,Proteomics.up
NAP1L4,-1.55737261,4.31E-06,Proteomics,down,Proteomics.down
IFI16,1.451425506,4.35E-06,Proteomics,up,Proteomics.up
RNF20,1.32769533,5.22E-06,Proteomics,up,Proteomics.up
GPD2,-0.987706082,5.38E-06,Proteomics,down,Proteomics.down
TRMT2A,-1.937982501,5.59E-06,Proteomics,down,Proteomics.down
FLNC,1.393247702,5.60E-06,Proteomics,up,Proteomics.up
DDX60,1.986362599,5.61E-06,Proteomics,up,Proteomics.up
PRMT3,-0.919072527,5.61E-06,Proteomics,down,Proteomics.down
PARD6B,-1.154341265,6.69E-06,Proteomics,down,Proteomics.down
MEAF6,-1.480448027,6.91E-06,Proteomics,down,Proteomics.down
CYCS,-0.725147755,8.19E-06,Proteomics,down,Proteomics.down
Sep-10,-0.779607938,8.47E-06,Proteomics,down,Proteomics.down
MRPS23,-0.769041934,8.67E-06,Proteomics,down,Proteomics.down
MYH10,1.924763238,9.22E-06,Proteomics,up,Proteomics.up
BTN3A2,2.107458174,9.84E-06,Proteomics,up,Proteomics.up
MED15,-0.701466336,1.00E-05,Proteomics,down,Proteomics.down
TUBG1,-0.583195228,1.05E-05,Proteomics,down,Proteomics.down
ATP5A1,-0.597777543,1.13E-05,Proteomics,down,Proteomics.down
PPIE,-0.607505803,1.21E-05,Proteomics,down,Proteomics.down
NEK9,-0.621632955,1.26E-05,Proteomics,down,Proteomics.down
ALPP,-1.1914428,1.31E-05,Proteomics,down,Proteomics.down
WDHD1,-0.90098927,1.43E-05,Proteomics,down,Proteomics.down
PAICS,-1.087101816,1.62E-05,Proteomics,down,Proteomics.down
SWAP70,0.792159671,1.71E-05,Proteomics,up,Proteomics.up
AARS,1.13194707,1.81E-05,Proteomics,up,Proteomics.up
MRPL44,-0.750430998,1.81E-05,Proteomics,down,Proteomics.down
