ID,logFC,Pvalue
DPM1,-0.90550579,0.084779081
SCYL3,-1.110018349,0.098271598
C1orf112,-0.360826588,0.226794967
CFH,0.381444195,0.362674715
FUCA2,0.137313322,0.713227263
GCLC,-0.741368654,3.69E-06
NFYA,-0.221375297,0.839102498
ENPP4,0.34842056,0.363094273
ANKIB1,-0.051964763,0.637548148
CYP51A1,0.325270739,0.620913035
BAD,-1.276458473,0.006569889
LAP3,0.769212189,2.27E-11
MAD1L1,-0.363237145,0.579085298
LASP1,1.248516684,0.087807419
SNX11,-0.357210635,0.509832972
M6PR,0.606454923,0.368914217
CASP10,0.307180626,0.481939928
TFPI,0.146473361,0.51152897
NDUFAF7,0.210039823,0.826463913
RBM5,0.386727789,0.60048735
SLC7A2,-0.588432936,0.248284514
ARF5,0.410874309,0.404416436
POLDIP2,-0.39111422,0.043396696
AK2,-0.310265839,1.34E-05
FKBP4,0.240297657,0.043245789
KDM1A,-0.452028726,0.611915899
RBM6,-0.413339988,0.714262859
RECQL,-0.567204318,0.886872115
CCDC132,0.486062643,0.031487869
NDUFAB1,1.301458863,0.191336116
SLC25A13,-1.041976772,0.005339635
ST7,0.855426646,0.866182156
CDC27,-0.222963091,0.216921984
DVL2,0.081208515,0.011325977
UPF1,-1.528853981,2.57E-10
CCDC109B,-0.961638984,0.168034749
POLR2J,0.212996581,0.328835525
DHX33,-0.442604745,0.037406299
LIG3,-0.507599276,0.092318354
RPAP3,-0.135799311,0.014950482
CIAPIN1,0.218117139,2.30E-05
PRKAR2B,-0.056423572,0.637711692
CREBBP,-0.029676144,0.731715123
GCFC2,-0.756120587,0.220582644
WDR54,0.076484076,0.107846578
CROT,0.388235484,0.392926205
IBTK,-0.135042074,0.527861528
ZNF195,-1.491084599,0.174727973
MYCBP2,-0.353949417,0.235514646
ITGA3,1.343068435,0.204169936
C19orf60,-0.054240526,0.472429294
AP2B1,1.561895393,0.01704671
SPATA20,0.131718928,0.877690545
TNFRSF12A,-1.388381537,0.006795915
RALA,-0.049852311,0.232885019
BAIAP2L1,0.315330056,0.775918006
ETV1,-0.422581338,0.554483282
AGK,0.188837691,0.275994636
ALDH3B1,-0.855596528,0.298706235
GGCT,-0.485825273,0.644435821
IFRD1,-0.13784521,0.574333215
PAF1,-0.017969709,0.019622293
VPS41,1.966036281,0.32295541
ELAC2,-0.186724667,0.046633704
CCDC124,0.278635362,0.220799536
PAFAH1B1,0.758004569,0.262503114
KIAA0100,-0.269434224,0.035076269
RPUSD1,-0.099161245,0.960716782
LUC7L,0.940880005,0.408450896
TEAD3,-2.723447021,0.290148534
DNAJC11,-0.249883732,0.001156227
PSMB1,1.316923064,0.290804503
NADK,0.073789573,0.147529658
CYTH3,-0.369685852,0.08212042
SYPL1,-0.496608896,0.588342339
CYB561,0.176177952,0.760133208
SPAG9,-1.362914741,0.001663696
AASS,0.145711267,0.177924606
MGST1,0.04235468,0.109469964
NFIX,0.018557851,0.826188199
ST3GAL1,-0.531951495,0.288512156
MED24,0.159816183,0.105349498
HEATR5B,0.194039213,0.759214828
SEC62,-0.088492172,0.055912117
RPS20,1.127110804,0.998759537
CSDE1,0.963570649,0.022152299
UBE3C,-0.311505946,0.0012267
FAM76A,-0.601485447,0.37652935
VTA1,0.756039248,0.503342538
BAZ1B,-0.437104372,0.051458479
RANBP9,0.398943521,0.187949638
METTL13,-0.004294593,0.500232119
DYRK4,-0.04020663,0.718739369
ZNF207,0.555842769,0.001396278
UQCRC1,-0.596577507,0.321043519
STARD3NL,0.239321579,0.396259687
CD9,0.013329916,0.093750052
NCAPD2,1.914678435,1.86E-06
NISCH,0.360069709,0.625700219
HFE,-0.37158473,0.395909025
SCMH1,-0.382797606,0.363436991
FYN,-0.877236008,0.278935871
HIVEP2,0.367477687,0.264743859
TCEB3,0.825316051,0.170111213
LYPLA2,0.340937262,0.955757355
TSPAN9,-0.688324586,0.348412425
APBA3,0.019403176,0.994553655
ABHD5,1.258534722,0.070700526
AKAP8L,0.066501915,0.022992841
UTP18,-0.046002782,0.001260475
TTC19,-0.376199389,0.539144803
PTBP1,0.896845872,0.011577116
DPF1,-0.334976381,0.133024894
LARS2,-0.222260741,0.756305509
PIK3C2A,-0.890137401,0.018226956
PLAUR,1.105737604,0.660742671
ANLN,-0.254638495,2.61E-06
WIZ,-0.691199888,0.076806466
RABGAP1,-0.599707348,0.000776298
QPCTL,-0.145609922,0.030995326
PPP5C,0.34011325,0.034352715
BRCA1,0.007906548,0.817480059
ERCC1,0.783600644,0.020408179
EXTL3,0.752445892,0.046468438
ELOVL5,-0.128712414,0.481366753
UBR7,-0.085818277,0.402159777
EHD3,0.351383305,0.295786207
PSMC4,0.493336243,0.465723731
MAN2B2,0.493871132,0.079295261
MVP,1.453287837,1.91E-09
NUB1,0.628491641,0.68978515
PGM3,-0.788860339,0.008633257
CLK1,0.873774647,0.337637396
POLR3B,0.568114513,0.359786326
RNF14,-0.538263118,0.647877402
DDX11,0.022893962,0.88092099
HEBP1,0.222840693,0.028867983
GPRC5A,-0.042871526,0.000549774
TACC3,-0.078506848,0.034852945
UFL1,-0.425634163,0.137380064
POLA2,-0.135276084,0.006141411
CAPN1,-0.02677655,0.099047434
MDH1,1.2389623,0.024340548
SLC30A9,0.396532291,0.081368171
COX15,-0.285466457,0.368407136
YAF2,-1.228499983,0.007693258
ZMYND11,1.093675008,0.256407829
BID,2.274274157,0.115585764
MATR3,0.915505311,0.003848823
NUDCD3,0.156039771,0.464854197
GLT8D1,0.003269224,0.286428692
ATP2C1,0.360414802,0.425550573
RALBP1,-1.458880842,0.1978918
RUFY3,0.047406052,0.815573163
WWTR1,0.238490829,0.731294265
AGPS,-0.367230184,0.967449733
TTC27,-1.055803189,0.000835475
PHLDB1,-0.7178554,0.356907026
CD74,3.861654629,1.76E-12
NCDN,-0.269557305,0.071777525
MNAT1,0.005650141,0.625585776
SAMD4A,-0.404423049,0.001074681
MRE11A,1.429361536,0.010215623
SERPINB1,0.9838907,0.645978542
SPAST,-0.30985783,0.883867145
AQR,0.438598434,0.708393229
RTFDC1,1.063458622,0.508683943
RNF10,-0.218503914,0.435237912
RNH1,-0.082949623,0.074188102
NDUFS1,0.504857892,0.056744858
RB1CC1,0.126980707,0.946524946
ERP44,0.469501267,0.022603165
ALAS1,-0.637978685,0.222317853
AKAP11,-0.197155363,0.24502913
GLRX2,-0.28180747,0.037000744
SNAPC1,0.313781527,0.338087499
DERA,0.102944281,0.349036485
STRAP,0.080783444,5.00E-05
DEF6,-0.073228881,0.934778486
GCLM,-1.182940098,0.646924676
UBR2,0.432920254,0.596849303
EHD2,-0.805486922,0.000547681
DEPDC1,0.231182338,0.487274127
CCDC28A,-0.721463589,0.145397359
TYMP,1.497827295,0.006006404
NCAPH2,-0.016610084,0.248748391
TOMM34,-0.351156729,0.041352284
SEC63,-0.882462082,0.353355856
KPNA6,0.6239753,0.260107748
VIM,1.269730746,0.001095584
RNASET2,-0.280435486,0.464126957
CD44,-0.500098694,0.685832145
MIPEP,-0.108482406,0.745453277
VRK2,-0.055155728,0.526731198
VEZT,0.319413779,0.557017705
BRD9,-0.380252306,0.068072905
SNX1,0.859158798,0.10567931
TBPL1,-0.198151945,0.532440847
BCLAF1,0.502557434,0.082524172
SLC39A9,-0.061037087,0.602802877
ANK1,0.121779212,0.907849211
TFB1M,-0.091263772,0.386723071
RABEP1,0.385728038,0.000290133
NUP160,-0.775679406,0.000846196
BAK1,0.5014602,0.140215853
GRN,0.568588851,0.007037938
CENPQ,-0.706885399,0.013608043
SARS,0.155970799,9.06E-06
RANBP3,0.488875587,0.01446922
TSSC1,1.221248391,0.352535763
PNPLA6,-0.224053727,0.004352382
ALG1,-0.518298845,0.492749664
ZCCHC8,0.209982676,0.320878694
ABCF2,0.079430366,0.002491375
CHPF2,-0.415789458,0.079622757
FUT8,0.603279909,0.214137127
UBA6,0.231267736,0.202444237
GAB2,-0.720407582,0.024064406
ATP6V0A1,-0.93347385,0.026852233
PIAS1,0.69803206,0.780532303
SLC4A7,-0.151195675,0.428062932
MAP2K3,0.05281185,0.584724648
TMSB10,-1.301891384,0.018167892
PEX3,0.362136272,0.681197641
GABARAPL2,-0.301053931,0.54579865
FAM136A,-0.635322566,0.103296181
VCL,0.675744496,8.09E-05
NSMAF,-0.27016731,0.23090742
ADSS,-0.627264004,0.002134784
TIMP2,-0.168780483,0.600747444
RFC1,-0.014712663,0.000249114
TBC1D23,-0.901993946,0.07502923
CUL3,0.330317988,0.003630277
RPL26L1,1.419247617,0.079388803
NSUN2,-0.044841047,0.030929581
MRI1,0.938042718,0.248328229
METTL1,-0.376352883,0.02029082
AGA,-0.237971614,0.302511766
PI4K2B,-0.297035426,0.85436843
BOD1L1,-0.188268372,0.93211715
MAT2B,0.801653017,0.115921243
EDC4,-0.276922539,5.98E-05
TRIO,-0.209603926,0.002773737
CLEC16A,0.847958152,0.010440908
SKIV2L2,-0.18727736,9.35E-06
DNAH5,-1.243292933,0.011285045
ZFYVE16,0.55533802,0.679608617
FAM65A,-0.738922566,2.57E-05
RAI14,0.227657904,0.819209629
PNKP,-0.884681076,0.06496976
SPDL1,-0.465748561,0.001389373
STAU2,-0.097613169,0.103044276
PHF23,0.048832545,0.921863883
