Ensembl,Entry,UNIPROT,Chrom,Gene.Name,Biotype
ENSG00000251621,NA,NA,2,AC009487.5,3prime_overlapping_ncrna
ENSG00000242540,NA,NA,2,AC010729.1,3prime_overlapping_ncrna
ENSG00000121410,P04217,A1BG_HUMAN,19,A1BG,protein_coding
ENSG00000243389,NA,NA,2,AC012442.5,3prime_overlapping_ncrna
ENSG00000148584,Q9NQ94,A1CF_HUMAN,10,A1CF,protein_coding
ENSG00000175899,P01023,A2MG_HUMAN,12,A2M,protein_coding
ENSG00000241409,NA,NA,2,AC064852.4,3prime_overlapping_ncrna
ENSG00000166535,A8K2U0,A2ML1_HUMAN,12,A2ML1,protein_coding
ENSG00000241772,NA,NA,2,AC092620.2,3prime_overlapping_ncrna
ENSG00000267174,NA,NA,19,CTC-510F12.4,3prime_overlapping_ncrna
ENSG00000273420,NA,NA,19,CTD-2540B15.13,3prime_overlapping_ncrna
ENSG00000184389,U3KPV4,A3LT2_HUMAN,1,A3GALT2,protein_coding
ENSG00000128274,Q9NPC4,A4GAT_HUMAN,22,A4GALT,protein_coding
ENSG00000118017,Q9UNA3,A4GCT_HUMAN,3,A4GNT,protein_coding
ENSG00000094914,Q9NRG9,AAAS_HUMAN,12,AAAS,protein_coding
ENSG00000081760,Q86V21,AACS_HUMAN,12,AACS,protein_coding
ENSG00000250686,NA,NA,6,RP1-240B8.3,3prime_overlapping_ncrna
ENSG00000114771,P22760,AAAD_HUMAN,3,AADAC,protein_coding
ENSG00000197953,Q6P093,ADCL2_HUMAN,3,AADACL2,protein_coding
ENSG00000188984,Q5VUY0,ADCL3_HUMAN,1,AADACL3,protein_coding
ENSG00000204518,Q5VUY2,ADCL4_HUMAN,1,AADACL4,protein_coding
ENSG00000109576,Q8N5Z0,AADAT_HUMAN,4,AADAT,protein_coding
ENSG00000158122,Q7RTV5,PXL2C_HUMAN,9,AAED1,protein_coding
ENSG00000103591,Q6PD74,AAGAB_HUMAN,15,AAGAB,protein_coding
ENSG00000115977,Q2M2I8,AAK1_HUMAN,2,AAK1,protein_coding
ENSG00000087884,Q9H7C9,AAMDC_HUMAN,11,AAMDC,protein_coding
ENSG00000127837,Q13685,AAMP_HUMAN,2,AAMP,protein_coding
ENSG00000129673,Q16613,SNAT_HUMAN,17,AANAT,protein_coding
ENSG00000131043,Q9Y312,AAR2_HUMAN,20,AAR2,protein_coding
ENSG00000205002,Q4LEZ3,AARD_HUMAN,8,AARD,protein_coding
ENSG00000090861,P49588,SYAC_HUMAN,16,AARS,protein_coding
ENSG00000124608,Q5JTZ9,SYAM_HUMAN,6,AARS2,protein_coding
ENSG00000266967,H7C1K1,H7C1K1_HUMAN,17,AARSD1,protein_coding
ENSG00000157426,Q4L235,ACSF4_HUMAN,4,AASDH,protein_coding
ENSG00000149313,Q9NRN7,ADPPT_HUMAN,11,AASDHPPT,protein_coding
ENSG00000008311,Q9UDR5,AASS_HUMAN,7,AASS,protein_coding
ENSG00000108270,Q9NY61,AATF_HUMAN,17,AATF,protein_coding
ENSG00000181409,Q6ZMQ8,LMTK1_HUMAN,17,AATK,protein_coding
ENSG00000225180,A0A1B0GWK0,PVLEF_HUMAN,17,AATK-AS1,antisense
ENSG00000260108,NA,NA,16,RP11-140H17.1,3prime_overlapping_ncrna
ENSG00000260566,NA,NA,16,RP11-20G6.3,3prime_overlapping_ncrna
ENSG00000255343,NA,NA,8,RP11-299M14.2,3prime_overlapping_ncrna
ENSG00000260772,NA,NA,16,RP11-311C24.1,3prime_overlapping_ncrna
ENSG00000267520,NA,NA,2,RP11-373L24.1,3prime_overlapping_ncrna
ENSG00000183044,P80404,GABT_HUMAN,16,ABAT,protein_coding
ENSG00000271875,NA,NA,9,RP11-430N14.4,3prime_overlapping_ncrna
ENSG00000233631,NA,NA,6,RP11-457M11.2,3prime_overlapping_ncrna
ENSG00000243888,NA,NA,9,RP11-548B3.3,3prime_overlapping_ncrna
ENSG00000165029,O95477,ABCA1_HUMAN,9,ABCA1,protein_coding
ENSG00000154263,Q8WWZ4,ABCAA_HUMAN,17,ABCA10,protein_coding
ENSG00000257499,NA,NA,12,RP11-571M6.8,3prime_overlapping_ncrna
